1999,The Matrix,Keanu Reeves
1982,Blade Runner,Harrison Ford
1979,Alien,Sigourney Weaver
1986,Aliens,Sigourney Weaver
1984,The Terminator,Arnold Schwarzenegger
1991,Terminator 2,Arnold Schwarzenegger
1987,Predator,Arnold Schwarzenegger
2015,Blackhat,Chris Hemsworth
2005,Batman Begins,Christian Bale
2008,The Dark Knight,Christian Bale
2012,The Dark Knight Rises,Christian Bale
2010,Inception,Leonardo DiCaprio
2002,The Bourne Identity,Matt Damon
2004,The Bourne Supermacy,Matt Damon
2007,The Bourne Ultimatum,Matt Damon
2012,The Bourne Legacy,Jeremy Renner
2016,Jason Bourne,Matt Damon
